CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
CM,CAfr,-20.3,7.8,15.4,-52.8,7.3,14.55,12.75
CM,CAfr,-25,7.7,14.9,-50.6,9.5,12.47,4.98
CM,CAfr,-22.8,9.3,15,-45.5,6.7,12.47,4.98
CG,CAfr,-23.7,9.2,13.6,-62.2,9.8,20.96,-1.44
CM,CAfr,-24.5,7.3,15.9,-57.4,6.3,12.47,4.98
CM,CAfr,-24,9.5,13.3,-65.4,6.8,9.13,4.09
CM,CAfr,-25,9.6,15.2,-50,6,12.47,4.98
CM,CAfr,-25,9.6,15.6,-53.1,6.2,12.47,4.98
GA,CAfr,-20.7,9.1,17,-33.3,6.2,13,0
CM,CAfr,-26.7,11.1,15.5,-51.6,6.8,10.2,3.13
CD,CAfr,-22,7.8,15.5,-53.5,4.8,24.56,5.59
CD,CAfr,-23.5,10.9,15.9,-43.2,7.7,29.5,0.45
CD,CAfr,-18.2,8.6,17.4,-34.3,6.7,29.5,0.45
CD,CAfr,-24.3,11.2,16,-43.3,4,18.2,-1.55
CD,CAfr,-23.8,10.4,15.7,-45.1,6.8,17.42,-1.47
CD,CAfr,-18,9.4,16.9,-22.6,5.3,29.29,0.29
CD,CAfr,-24.7,11.4,17.1,-37.3,5.3,29.29,0.29
CD,CAfr,-25.9,10.9,17.1,-39.7,6.2,18.2,-1.55
CD,CAfr,-22.7,6.7,17.9,-38.5,9.5,27.52,3.45
CD,CAfr,-25,11.4,15.2,-49.2,4.9,16.2,-2.06
CD,CAfr,-22.8,10.2,14.8,-42,9.8,16.2,-3.4
CD,CAfr,-24.8,10.5,15.4,-43.4,8.4,17.11,-1.1
CD,CAfr,-24.8,11.4,16,-36.8,4.9,23.55,-1.35
CD,CAfr,-24.5,10.1,16.3,-39.9,5.7,29.51,1.32
CD,CAfr,-24.6,12.1,17.1,-39.9,5.2,26.23,1.52
CD,CAfr,-24.6,10.7,16.8,-42.7,5.1,25.09,-0.28
CD,CAfr,-23.9,9.2,16.8,-45.1,5.6,25.09,-0.28
CD,CAfr,-24.1,11.3,16.6,-40.9,6.3,23.55,-1.35
CD,CAfr,-24.2,9.9,16.8,-35.4,6.7,23.55,-1.35
RW,CAfr,-21.2,8.2,16.1,-46.5,5.2,29.77,-2
CD,CAfr,-22.1,8,18.3,-36,6.2,29.09,3.4
