building,city,year,height,stories
191 Peachtree Plaza,Atlanta,1990,770,54
Southern Bell Telephone,Atlanta,1980,677,47
BellSouth Enterprises,Atlanta,1990,428,28
Club Towers Apts.,Atlanta,1989,410,38
1 Georgia Center,Atlanta,1966,371,29
Scotia Center,Calgary,1976,504,38
Aon Tower,Chicago,1974,1136,80
IBM Plaza,Chicago,1991,695,52
Madison Plaza,Chicago,1982,551,45
190 LaSalle,Chicago,1986,550,40
Carew Tower,Cincinnati,1931,568,49
Central Trust Tower,Cincinnati,1979,504,33
Cityplace Center,Dallas,1988,560,50
2001 Bryan,Dallas,1973,512,40
Skyway Tower,Dallas,1981,448,31
Burnette Plaza,Ft. Worth,1983,538,40
Houston Light and Power,Houston,1968,410,27
Neils Esperson,Houston,1927,409,31
Indiana National Bank,Indianapolis,1969,504,35
Northwest,Minneapolis,1988,777,57
Lincoln Center,Minneapolis,1987,496,31
First Bank Place West,Minneapolis,1960,386,26
Energy Center,New Orleans,1984,530,39
Hyatt Regency,New Orleans,1976,360,25
Hibernia Bank,New Orleans,1920,355,23
Empire State Building,New York,1931,1250,102
Cityspire,New York,1989,802,72
Citibank,New York,1907,741,57
World Finance Center,New York,1988,739,54
712 Fifth Ave,New York,1990,650,56
Celanese Building,New York,1973,592,45
520 Madison Ave,New York,1983,577,42
Liberty Tower,Oklahoma City,1971,500,36
Woodman Tower,Omaha,1969,469,30
First National Center,Omaha,1971,320,22
Sun Bank Center,Orlando,1988,441,31
2 Liberty Place,Philadelphia,1989,845,52
2000 Market St,Philadelphia,1973,435,29
2 Logan Square,Philadelphia,1987,435,34
Penn Mutual Life,Philadelphia,1931,375,20
Medical Tower,Philadelphia,1931,364,33
Inquirer Building,Philadelphia,1924,340,18
Nix Professional Building,St. Paul,1931,375,23
Emerald-Shapery Center,San Diego,1991,450,30
First and Market,San Francisco,1973,529,38
Embarcadero Center,San Francisco,1976,412,31
AT&T Gateway Tower,Seattle,1990,722,62
First Interstate Center,Seattle,1983,574,48
520 Pike Tower,Seattle,1984,498,29
Key Tower,Seattle,1986,493,40
Century Square,Seattle,1986,379,30
100 North Tampa,Tampa,1992,579,42
First Financial Tower,Tampa,1973,458,36
NCNB Plaza,Tampa,1988,454,33
First Canadian Place,Toronto,1979,952,72
Commerce Court West,Toronto,1972,784,57
Commerce Court North,Toronto,1930,476,34
Palace Pier,Toronto,1978,453,46
T-D Bank Tower,Vancouver,1978,440,30
Harbor Center,Vancouver,1977,428,21
1 World Trade Center,New York,1972,1368,110
Sears Tower,Chicago,1974,1454,110
John Hancock Center,Chicago,1969,1127,100
Petronas Towers,Kuala Lumpur,1998,1483,88
Transamerica Pyramid,San Francisco,1972,853,48
