price,year,TT,SMOH,IFR,DME,LORAN,ModeC,HP,paint
33.5,1981,3200,1600,1,1,0,1,161,0
65,1986,1731, ,1,1,0,1,161,0
24.5,1974,3680,1680,1,0,1,1,161,0
24.9,1977,1340,300,0,0,0,0,161,0
21.9,1974,2090,400,0,0,0,0,161,1
27.9,1976,3270,940,1,0,1,1,161,0
27.5,1982,6320,320,0,0,0,1,161,0
30.9,1982,6402,402,1,0,0,1,161,0
34.5,1981,1900, ,1,0,0,1,161,0
72.9,1986,640,640,1,1,1,1,161,0
23.5,1977,3890,1395,1,0,0,1,161,0
51.9,1986,2200,2200,0,0,0,0,161,0
54.9,1958,3300,3300,1,0,0,0,161,0
31.5,1977,3400,22,0,0,0,1,161,0
25.5,1977,3160,970,1,0,0,0,161,0
41.9,1983,3265,860,1,0,0,0,161,0
34.5,1978,1960,0,1,1,0,1,161,0
23.5,1975,3700, ,1,0,0,0,161,1
38.95,1977,2070,350,1,0,1,0,161,0
32.5,1980,4400,240,0,0,0,0,161,1
34.85,1975,4200,1650,1,1,1,1,161,0
25.85,1975,4100,1600,0,0,1,1,161,0
26,1976,3100,860,1,0,0,0,161,1
24.9,1979,4200,1500,1,0,0,1,161,0
21,1978,900,0,0,0,0,0,161,0
 , , , , , , , , ,
