price,sqft,age,features,NE,custom,corner,tax
205,2650,13,7,1,1,0,1639
208,2600,NA,4,1,1,0,1088
215,2664,6,5,1,1,0,1193
215,2921,3,6,1,1,0,1635
199.9,2580,4,4,1,1,0,1732
190,2580,4,4,1,0,0,1534
180,2774,2,4,1,0,0,1765
156,1920,1,5,1,1,0,1161
145,2150,NA,4,1,0,0,NA
144.9,1710,1,3,1,1,0,1010
137.5,1837,4,5,1,0,0,1191
127,1880,8,6,1,0,0,930
125,2150,15,3,1,0,0,984
123.5,1894,14,5,1,1,0,1112
117,1928,18,8,1,1,0,600
118,1830,NA,3,1,0,0,733
115.5,1767,16,4,1,0,0,794
111,1630,15,3,1,0,1,867
113.9,1680,17,4,1,0,1,750
99.5,1725,NA,3,1,0,0,923
99.5,1500,15,4,1,0,0,743
97.5,1430,NA,3,1,0,0,752
97.5,1360,NA,4,1,0,0,696
90,1400,16,2,1,0,1,731
96,1573,17,6,1,0,0,768
86,1385,NA,2,1,0,0,653
169.5,2931,28,3,1,0,1,1142
155.3,2200,28,4,1,0,0,1035
125,2277,NA,4,1,1,0,NA
130,2000,NA,3,1,1,0,1076
102,1478,53,3,1,0,1,626
102,1713,30,4,1,0,1,600
92.2,1326,NA,4,1,0,0,668
92.5,1050,NA,2,1,0,1,553
89.9,1464,NA,2,1,1,0,566
85,1190,41,1,1,0,0,600
87.6,1156,NA,1,1,0,0,NA
89,1746,NA,2,1,0,0,591
87,1280,NA,1,1,0,0,599
70,1215,NA,3,1,0,0,477
72,1121,46,4,1,0,0,398
72,1050,NA,1,1,0,0,NA
74.9,1733,43,6,1,0,0,656
73.1,1299,NA,6,1,0,0,585
72.5,1140,NA,3,1,0,1,490
67,1181,NA,4,1,0,0,440
215,2848,4,6,1,1,0,1487
159.9,2440,NA,5,1,1,0,1265
135,2253,23,4,1,1,0,939
129.9,2743,25,5,1,1,1,1232
125,2180,17,4,1,0,1,1141
123.9,1706,14,4,1,0,0,810
120,1948,NA,4,1,0,0,899
112.5,1710,16,4,1,1,0,800
110,1657,NA,4,1,0,0,865
108,2200,26,4,1,0,0,1076
105,1680,13,4,1,0,0,875
104.9,1900,34,3,1,0,0,690
95.5,1565,NA,3,1,1,0,648
93.4,1543,20,3,1,0,0,820
87.5,1173,6,4,1,0,0,456
88.9,1549,NA,4,1,0,0,723
85.5,1900,NA,3,1,0,0,780
83.5,1560,NA,5,1,0,1,638
81,1365,NA,2,1,0,0,673
80.5,1258,7,4,1,0,1,821
79.9,1314,NA,2,1,0,0,671
75,1338,NA,3,1,0,1,649
75.9,997,4,4,1,0,0,461
75.5,1275,NA,5,1,0,0,NA
75,1030,NA,1,1,0,0,486
73,1027,NA,3,1,0,0,427
72.9,1007,19,6,1,0,0,513
71,1083,22,4,1,0,0,504
77.3,1320,NA,5,1,0,0,NA
69,1348,15,2,1,1,0,NA
67,1350,NA,2,1,0,0,622
61.9,837,NA,2,1,0,0,342
129.5,3750,NA,4,0,1,1,1200
97.5,1500,7,3,0,1,1,700
93.9,1428,40,2,0,0,0,701
82,1375,NA,1,0,0,0,585
78,1080,NA,3,0,1,0,600
77,900,NA,3,0,0,0,391
70,1505,NA,2,0,0,1,591
62,1480,NA,4,0,0,0,NA
54,1142,NA,0,0,0,0,223
107,1464,NA,2,0,0,0,376
210,2116,25,3,0,1,0,1209
72.5,1280,NA,3,0,0,0,447
66,1159,NA,0,0,0,0,225
60,1198,NA,4,0,0,0,NA
58,1051,15,2,0,0,0,426
184.4,2250,40,6,0,1,0,915
158,2563,NA,2,0,1,0,1189
69.9,1400,45,1,0,1,1,481
133,1850,5,5,0,1,1,NA
116,1720,5,4,0,0,0,867
110.9,1740,4,3,0,0,0,816
112.9,1700,6,4,0,0,0,725
105,1620,6,4,0,0,0,800
104.5,1630,6,4,0,0,0,750
105,1920,8,4,0,0,0,944
102,1606,5,4,0,0,0,811
100,1535,7,5,0,0,1,668
103,1540,6,2,0,0,1,826
97.5,1739,13,3,0,0,0,880
95,1715,NA,3,0,0,0,900
94,1305,5,3,0,0,0,647
92,1415,7,4,0,0,0,866
94.5,1580,9,3,0,0,0,810
87.4,1236,3,4,0,0,0,707
87.2,1229,6,3,0,0,0,721
87,1273,4,4,0,0,0,638
86.9,1165,7,4,0,0,0,694
76.6,1200,7,4,0,0,1,634
73.9,970,4,4,0,0,1,541
