year,date
1917,120.479
1918,131.398
1919,123.606
1920,132.449
1921,131.279
1922,132.556
1923,129.083
1924,132.632
1925,127.772
1926,116.669
1927,133.238
1928,127.684
1929,125.653
1930,128.794
1931,130.391
1932,122.427
1933,128.812
1934,120.588
1935,135.564
1936,121.54
1937,132.836
1938,126.843
1939,119.56
1940,111.644
1941,123.076
1942,120.561
1943,118.807
1944,125.589
1945,136.403
1946,125.694
1947,123.744
1948,134.467
1949,134.527
1950,126.676
1951,120.746
1952,133.711
1953,119.662
1954,126.751
1955,129.592
1956,122.975
1957,125.396
1958,119.622
1959,128.476
1960,123.8
1961,125.48
1962,132.974
1963,125.767
1964,141.487
1965,127.792
1966,128.508
1967,124.497
1968,129.393
1969,118.519
1970,124.442
1971,128.897
1972,131.497
1973,124.499
1974,126.656
1975,130.576
1976,123.452
1977,126.532
1978,120.638
1979,120.761
1980,120.553
1981,120.781
1982,130.733
1983,119.776
1984,130.648
1985,131.608
1986,128.951
1987,125.633
1988,118.385
1989,121.843
1990,114.719
1991,121.003
1992,135.268
1993,113.542
1994,119.959
1995,116.557
1996,126.522
1997,120.436
1998,110.704
1999,119.908
2000,122.449
2001,128.542
2002,127.894
2003,119.765
2004,115.594
2005,118.501
2006,122.728
2007,117.658
2008,126.953
2009,121.862
2010,119.379
2011,124.683
2012,114.819
2013,140.612
2014,115.658
2015,114.601
2016,114.652
2017,121.500
2018,121.554
2019,104.015
