spam,credit,meeting
0,0,0
1,0,0
1,0,0
1,0.99,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0.8
1,0,0
1,0.24,0
0,0,0
0,0,0
1,0.34,0
0,0,0
1,0.2,0
0,0,0.76
0,0,0
1,0,0
1,0,0
0,0,0
0,0,10
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0.76,0
0,0,0
1,0.26,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0.2,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,3.26,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0.59,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0.78,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0.97
1,0,0
1,0,0
1,0,0
1,0.26,0
1,0,0
0,0.09,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0.7
1,0,0
1,0,0
1,0,0
0,0,0
0,0,3.7
1,0.16,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,4.76
0,0,0
0,0,0
1,0,0
0,0,3.7
0,0,0.19
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0.47,0
0,0,0
1,0.4,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0.93
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0.48
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0.19,0
0,0,0.08
1,0,0
0,0,0
1,0,0
1,3.12,0
0,0,1.04
1,0,0
0,0,0
1,0.46,0
0,0,0
0,0,0
0,0,0
1,4.1,0
1,0.23,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0.08
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1.16
1,0,0
1,0.12,0
0,0,0.66
1,0,0
1,0,0
1,0,0
1,0,0
0,0,5.55
0,0,0
0,0,2.12
1,1.16,0
0,0,0.02
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0.89
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0.41,0
0,0,0
1,0.04,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,1.78
0,0,0
1,4.1,0
1,0,0
1,2.67,0
1,0.2,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,2.38
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.24,0.49
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0.2,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0.83
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,3.22
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0.54
0,0,0
1,0,0
1,0,0
1,0.69,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0.01
1,0,0
0,0,1.62
1,0,0
0,0,0
1,0,0
1,1.68,0
1,0,0
0,0,0
0,0,0
0,0,11.11
0,0,0
0,0,0
1,0,0
1,0,0
1,3.8,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,2.02
1,0,0
0,0,0
1,0.41,0
0,0,0
0,0,0
0,0.05,0
1,0.2,0
1,0.17,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,1.68,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.16,0
0,0,0.73
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.12,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0.06
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,2.7
1,0.1,0
0,0,8.33
0,0,0
0,0,4.54
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,2.64
1,0,0
1,0,0
0,0,0
0,0,1.38
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,3.44
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0.15,0
0,0,0
1,0.18,0
0,0,0
1,0,0
1,0,0
0,0,0.77
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.87
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0.45
0,0,0
1,0.39,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,2.23
0,0,0
0,0,0
1,0.16,0
0,0,0
0,0,0
0,0,0
1,0.39,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.05,0.11
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0.29,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0.68,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,6.45
0,0,0
0,0,1.26
1,0,0
0,0,0
1,0,0
0,0,0
1,2.2,0
0,0,0
1,0.31,0
0,0,0
0,0,0
0,0,0
0,0,0.9
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.92
0,0,0
0,0.02,0.02
1,0,0
0,0,0
1,0,0
1,0.74,0
0,0,0
1,0.06,0
0,0,0
1,0,0
0,0,0
1,0.06,0
1,0.29,0
0,0,0
0,0,0.78
1,1.15,0
1,2.61,0
0,0,0
1,0,0
1,0,0
0,0,0.41
1,0,0
1,0.4,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0.17,0
1,0.14,0
1,0,0
1,0.17,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,2.08,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0.08
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
